sample_id,reference,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S3_008,S3,999.0,109.0,3.1,0.72,"PEI, Span 81",600.0,0.3256,0.364,0.273,0.364,0.55,25.0,400.0,0.8,2.58
S3_009,S3,999.0,109.0,3.1,0.72,"PEI, Span 81",600.0,0.3256,0.364,0.273,0.364,0.55,25.0,5000.0,0.8,4.05
S3_010,S3,999.0,110.0,3.1,0.72,"PEI, Span 82",600.0,0.3256,0.364,0.273,0.364,0.53,25.0,5000.0,0.0,3.26
S3_011,S3,999.0,112.0,3.1,0.73,"PEI, Span 83",600.0,0.3256,0.364,0.273,0.364,0.5,25.0,5000.0,0.0,3.14
S3_012,S3,700.0,389.0,0.96,0.68,PGA,1813.0,0.1916,1.0,0.0,0.0,0.26,35.0,400.0,0.0,0.14
S4_001,S4,700.0,332.0,0.96,0.6,PGA,1813.0,0.1916,1.0,0.0,0.0,0.31,35.0,400.0,0.0,0.3
S4_002,S4,700.0,147.0,0.96,0.27,PGA,1813.0,0.1916,1.0,0.0,0.0,0.41,35.0,400.0,0.0,0.66
S4_003,S4,700.0,384.0,0.96,0.65,PGA,3974.0,0.1916,1.0,0.0,0.0,0.24,35.0,400.0,0.0,0.08
S4_004,S4,700.0,300.0,0.96,0.55,PGA,3974.0,0.1916,1.0,0.0,0.0,0.29,35.0,400.0,0.0,0.15
S4_005,S4,700.0,61.0,0.96,0.15,PGA,3974.0,0.1916,1.0,0.0,0.0,0.36,35.0,400.0,0.0,0.63
S4_006,S4,700.0,78.0,0.96,0.17,PGA,3974.0,0.1916,1.0,0.0,0.0,0.49,35.0,400.0,0.0,0.61
S4_007,S4,700.0,377.0,0.96,0.6,PGA,6493.0,0.1916,1.0,0.0,0.0,0.25,35.0,400.0,0.0,0.2
S4_008,S4,700.0,534.0,0.96,0.53,PGA,6493.0,0.1916,1.0,0.0,0.0,0.33,35.0,400.0,0.0,0.6
S4_009,S4,700.0,395.0,0.96,0.42,PGA,6493.0,0.1916,1.0,0.0,0.0,0.39,35.0,400.0,0.0,0.58
S4_010,S4,700.0,145.0,0.96,0.14,PGA,6493.0,0.1916,1.0,0.0,0.0,0.47,35.0,400.0,0.0,0.57
S5_001,S5,522.0,276.9,2.93,2.14,PEI,800.0,0.3256,0.397,0.325,0.278,0.18,20.0,400.0,0.0,0.39
S5_002,S5,522.0,158.1,2.93,1.28,PEI,800.0,0.3256,0.397,0.325,0.278,0.44,20.0,400.0,0.0,0.54
S5_003,S5,522.0,126.4,2.93,1.01,PEI,800.0,0.3256,0.397,0.325,0.278,0.52,20.0,400.0,0.0,0.74
